parallelism,TimeTaken(virtual),TimeTaken(platform),#concurrent(virtual),#concurrent(platform),#threads(virtual),#threads(platform)
1,2146,997,1,2,1,2
2,881,996,3,3,2,3
3,729,938,3,4,3,4
4,3620,4384,4,5,4,5
5,2866,5277,5,6,5,6
6,3134,5375,7,7,6,7
7,3195,5033,7,8,7,8
8,2842,5017,8,9,8,9
9,3076,5206,9,10,9,10
10,3269,5490,10,11,10,11
11,3888,5729,11,12,11,12
12,3966,6085,12,13,12,13
13,3902,5629,14,14,13,14
14,3702,5737,16,15,14,15
15,1335,1583,15,16,15,16
16,3509,5741,19,17,16,17
17,4020,6781,17,18,17,18
18,4339,6512,18,19,18,19
19,4031,5779,20,20,19,20
20,4086,5646,20,21,20,21
